,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
11716873_a_at,5.447435282,0.314735625,0.091010934,3.458217715,0.000543762,0.007058815
11716874_x_at,5.611861689,0.289346495,0.089413926,3.236033904,0.00121203,0.013590752
11716881_a_at,5.602469746,-0.483179973,0.090287157,-5.351591425,8.72E-08,3.34E-06
11716882_a_at,5.03681224,-0.38731431,0.095291273,-4.064530752,4.81E-05,0.000912616
11716895_s_at,8.578361305,-0.236187632,0.072735854,-3.247196782,0.001165478,0.01315686
11716914_a_at,6.388595244,-0.255969747,0.083306177,-3.072638255,0.002121755,0.021318945
11716915_a_at,6.157135527,-0.267980039,0.084960879,-3.154158047,0.001609619,0.017043752
11716932_a_at,5.362757622,-0.52528272,0.093192338,-5.636544045,1.73E-08,7.63E-07
11716933_a_at,3.532791967,-0.682432439,0.115617623,-5.902494961,3.58E-09,1.81E-07
11716934_a_at,4.525058827,-0.662819851,0.102736345,-6.451658882,1.11E-10,7.17E-09
11716939_a_at,7.34490431,-0.287917979,0.07816097,-3.683654122,0.000229914,0.003421481
11716943_at,6.058421497,0.364317809,0.08599719,4.236391999,2.27E-05,0.000475013
11716956_a_at,4.270918234,-0.284429693,0.102841351,-2.765713301,0.005679845,0.046964899
11716974_a_at,7.422980456,-0.515168733,0.078659859,-6.549321868,5.78E-11,3.91E-09
11716975_a_at,3.454634024,-0.347440518,0.11421167,-3.04207545,0.00234953,0.023128456
11716982_at,6.125716188,0.436771724,0.085793415,5.090970283,3.56E-07,1.20E-05
11717010_a_at,4.717998349,0.351492194,0.098369334,3.573188719,0.00035266,0.004899936
11717015_a_at,10.0424949,-0.188607758,0.067260177,-2.804151958,0.005044912,0.042997601
11717045_a_at,6.397843124,0.616546937,0.084848779,7.26642089,3.69E-13,3.50E-11
11717048_a_at,5.729244024,-0.810225661,0.093169157,-8.696286235,3.43E-18,6.23E-16
11717049_s_at,6.776962845,-0.611045691,0.083086827,-7.354302879,1.92E-13,1.89E-11
11717050_x_at,5.759175598,-0.608799027,0.090423138,-6.732779227,1.66E-11,1.22E-09
11717071_at,6.095623911,-0.349427379,0.085657674,-4.079347034,4.52E-05,0.000864962
11717084_a_at,5.879280802,0.337236326,0.087340704,3.861158795,0.000112851,0.0018882
11717085_a_at,6.917608394,0.242668895,0.080225324,3.024841573,0.002487634,0.024258552
11717096_a_at,8.587566215,0.269605177,0.072547313,3.716266886,0.000202188,0.003061366
11717113_a_at,8.603835165,-0.345175511,0.072673289,-4.749688874,2.04E-06,5.75E-05
11717117_a_at,7.108013895,-0.217582646,0.079172198,-2.748220343,0.005991973,0.049014061
11717123_a_at,6.503351455,-0.418012798,0.083225521,-5.022651624,5.10E-07,1.65E-05
11717127_a_at,7.997992321,-0.796907761,0.077780666,-10.2455764,1.24E-24,4.20E-22
11717135_a_at,4.086581105,-0.297308058,0.105318722,-2.822936449,0.0047586,0.041049179
11717136_x_at,3.567485203,-0.327974574,0.112544105,-2.914187056,0.003566162,0.032622047
11717151_s_at,5.391092038,0.259737332,0.091401648,2.841713893,0.004487174,0.039306503
11717154_a_at,3.489611237,0.677173796,0.116003815,5.837513134,5.30E-09,2.57E-07
11717155_a_at,9.065298602,0.293160906,0.070788008,4.141392213,3.45E-05,0.000679002
11717158_at,6.788468446,0.293610959,0.081028529,3.623550389,0.000290587,0.00416631
11717162_a_at,5.519695163,0.34322236,0.090472286,3.793673992,0.000148435,0.002361398
11717163_s_at,7.009049977,0.260739866,0.079847229,3.265484213,0.001092771,0.012494708
11717165_a_at,3.972400955,0.316276604,0.106690313,2.964435989,0.003032383,0.028553102
11717168_a_at,4.74476938,-0.427365319,0.098521328,-4.337794967,1.44E-05,0.000322293
11717190_s_at,10.73219091,-0.204381578,0.065191795,-3.13508129,0.001718065,0.018008882
11717196_a_at,8.65913489,0.208707174,0.072108067,2.894366526,0.003799244,0.034327169
11717199_a_at,7.626586949,0.270719429,0.076690331,3.530033399,0.000415507,0.005640933
11717201_at,7.91930878,0.266231237,0.075338683,3.533792,0.000409643,0.005564865
11717211_a_at,5.021327796,-0.265867834,0.095039571,-2.797443557,0.005150877,0.043700033
11717221_s_at,8.444982147,-0.201061114,0.072952629,-2.756050283,0.0058504,0.048067879
11717232_a_at,5.12417344,-0.3718443,0.095169987,-3.907159288,9.34E-05,0.001607932
11717262_a_at,6.958652217,0.219764244,0.079955191,2.748592557,0.005985173,0.048996002
11717272_at,5.838809891,0.391284996,0.088046603,4.444066932,8.83E-06,0.000209206
11717273_at,3.79841701,0.442403938,0.109847715,4.027429599,5.64E-05,0.001046947
11717274_s_at,5.489198857,0.383627114,0.091000826,4.215644328,2.49E-05,0.000512579
11717275_s_at,7.694256491,0.21204189,0.076338602,2.777649644,0.005475362,0.045690104
11717281_a_at,4.065247982,0.331128159,0.105605176,3.135529629,0.001715441,0.017985794
11717283_a_at,3.726181372,0.434820514,0.110604343,3.93131503,8.45E-05,0.001476644
11717295_s_at,6.19996359,-0.367901636,0.085259933,-4.315058936,1.60E-05,0.000349975
11717301_at,5.246366229,0.812842436,0.096959215,8.383343868,5.14E-17,8.04E-15
11717305_a_at,9.097082575,-0.194948021,0.070639728,-2.759750459,0.005784553,0.047671053
11717306_x_at,8.804194959,-0.206456215,0.071715057,-2.878840569,0.003991401,0.035760905
11717308_a_at,6.578144097,0.246277704,0.082095193,2.999904072,0.002700646,0.025944563
11717310_a_at,7.965419157,0.240273699,0.075063373,3.200944604,0.001369779,0.015026025
11717315_a_at,7.38010416,0.21512237,0.077788728,2.765469705,0.005684088,0.046981787
11717321_at,7.858295045,-0.223514445,0.075513729,-2.959917983,0.00307721,0.028930514
11717326_at,8.347929089,-0.337822884,0.073715833,-4.582772385,4.59E-06,0.000117912
11717327_at,7.217210553,-0.4161369,0.079215076,-5.253253832,1.49E-07,5.47E-06
11717339_s_at,7.096358953,0.356829128,0.079626468,4.481287896,7.42E-06,0.00017922
11717349_a_at,5.257412411,0.461380929,0.094262465,4.89464103,9.85E-07,2.99E-05
11717355_a_at,4.524602579,-0.384891344,0.100686097,-3.822686113,0.000132006,0.002141544
11717364_a_at,7.641847187,0.213491348,0.076485571,2.791263054,0.005250278,0.044314342
11717383_at,2.764624498,0.375269809,0.126482081,2.966980033,0.003007405,0.028361702
11717385_a_at,10.14091305,-0.469934303,0.068011693,-6.909610389,4.86E-12,3.91E-10
11717386_s_at,10.54680395,-0.378441657,0.066433717,-5.696529897,1.22E-08,5.55E-07
