,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
11724152_a_at,4.767922619,0.525876942,0.098865501,5.319114709,1.04E-07,3.93E-06
11724178_a_at,4.842188632,-0.371867838,0.097182078,-3.826506365,0.000129975,0.00211261
11724180_a_at,4.689182255,-0.345628396,0.099071894,-3.488662435,0.000485444,0.006412936
11724196_s_at,5.221797397,0.421027524,0.093861498,4.485625457,7.27E-06,0.000176011
11724197_at,4.281325833,0.505132837,0.104054826,4.854487359,1.21E-06,3.59E-05
11724198_a_at,2.821729355,0.545529766,0.126525475,4.311619977,1.62E-05,0.00035419
11724200_a_at,2.586444804,-0.435768185,0.130866529,-3.329867363,0.000868874,0.010385364
11724209_a_at,5.832205608,0.342533011,0.08779153,3.901663546,9.55E-05,0.001637507
11724215_at,5.648350995,-0.315947823,0.089209209,-3.541650327,0.000397632,0.005432822
11724219_x_at,4.147698407,-0.358049875,0.105135047,-3.40561865,0.000660143,0.008301972
11724220_s_at,2.503768005,-0.51112018,0.133371967,-3.832290937,0.000126955,0.002074594
11724221_at,4.3753306,-0.931669656,0.106413386,-8.755192285,2.04E-18,3.78E-16
11724236_a_at,6.531798137,0.351340876,0.082697964,4.248482782,2.15E-05,0.000453424
11724246_a_at,4.301971839,-0.317236357,0.10263376,-3.09095524,0.001995137,0.020280647
11724255_a_at,7.524179427,-0.219494626,0.077117341,-2.84624212,0.004423854,0.038884551
11724256_s_at,7.822253316,-0.234068801,0.0758121,-3.087486051,0.002018572,0.020474983
11724264_a_at,6.52738035,0.271149926,0.082504167,3.286499786,0.001014409,0.011791467
11724266_a_at,5.63771574,-0.295253485,0.089279461,-3.30707065,0.000942771,0.011137642
11724267_at,5.211291304,-0.391626336,0.093722999,-4.178551048,2.93E-05,0.000590939
11724271_a_at,3.506499054,-0.393949897,0.113901483,-3.458689787,0.00054281,0.007048599
11724272_at,3.738007971,-0.527996604,0.111316651,-4.743195209,2.10E-06,5.92E-05
11724275_s_at,6.73277892,0.271642103,0.081350251,3.339167379,0.000840299,0.010114633
11724282_a_at,6.784522567,-0.762617613,0.083626033,-9.119380478,7.56E-20,1.58E-17
11724283_a_at,8.85985512,0.212321963,0.071376644,2.974670005,0.002933039,0.02780784
11724293_a_at,3.232868292,0.352698294,0.117718545,2.996114963,0.002734433,0.026216041
11724296_a_at,4.789057769,0.685337891,0.100731036,6.803641842,1.02E-11,7.79E-10
11724297_a_at,3.489153987,0.499899895,0.114802253,4.354443246,1.33E-05,0.000302237
11724298_a_at,3.705155936,0.339463066,0.11036907,3.075708312,0.002100032,0.021150461
11724299_s_at,4.635043628,0.38385945,0.099217544,3.86886667,0.000109342,0.001834184
11724304_a_at,5.941836804,-0.368670372,0.086934333,-4.240791413,2.23E-05,0.00046717
11724328_a_at,8.180489643,0.469474596,0.074914966,6.26676642,3.69E-10,2.21E-08
11724339_a_at,3.012922215,-0.418790994,0.121960774,-3.433817129,0.000595146,0.007607846
11724341_at,4.314166648,-1.109435376,0.109475154,-10.13412935,3.90E-24,1.27E-21
11724365_a_at,4.60952543,0.291441113,0.099139387,2.939710654,0.003285189,0.030589378
11724367_a_at,7.514727526,-0.627662086,0.078804075,-7.964843037,1.65E-15,2.17E-13
11724374_at,3.571613617,0.394604174,0.112903786,3.495048195,0.000473976,0.006288693
11724375_at,5.931316694,-0.497152179,0.087604227,-5.674979355,1.39E-08,6.21E-07
11724377_at,5.982507202,-0.351016986,0.086579597,-4.054269097,5.03E-05,0.000948138
11724378_s_at,9.020128712,-0.29096602,0.070946327,-4.10121328,4.11E-05,0.000794127
11724380_a_at,5.396375841,-0.261295073,0.091309961,-2.86162724,0.004214723,0.037470739
11724386_a_at,4.00298932,0.321307131,0.106356704,3.021033165,0.002519138,0.024499733
11724399_a_at,7.28286913,-0.236978445,0.078352105,-3.024531955,0.002490182,0.024266763
11724405_at,6.212496743,0.297097704,0.084671421,3.508830974,0.000450081,0.006027863
11724407_s_at,5.43113521,0.4406501,0.091714725,4.80457308,1.55E-06,4.49E-05
11724421_at,7.096475769,0.339861746,0.079608212,4.269179477,1.96E-05,0.000417038
11724422_a_at,2.688933337,-0.475445577,0.128799389,-3.691365166,0.000223054,0.003333543
11724441_x_at,5.095393606,-0.583628438,0.096527358,-6.046248948,1.48E-09,7.98E-08
11724444_a_at,4.521921553,0.589502188,0.101810315,5.79020099,7.03E-09,3.32E-07
11724446_a_at,6.435757153,-0.34498532,0.083287395,-4.142107211,3.44E-05,0.0006772
11724447_a_at,3.886665486,-0.56662838,0.109288349,-5.184709851,2.16E-07,7.69E-06
11724452_a_at,5.339328117,0.267864144,0.091884815,2.915216653,0.003554417,0.032528555
11724454_at,4.887898705,-0.414664343,0.097107505,-4.270157524,1.95E-05,0.00041542
11724463_a_at,8.050307763,-0.209001598,0.074944562,-2.788749334,0.0052912,0.044571599
11724464_a_at,6.515621107,0.508135231,0.083482597,6.086720439,1.15E-09,6.32E-08
11724465_a_at,4.45473793,0.650953729,0.102866178,6.328160912,2.48E-10,1.51E-08
11724466_x_at,5.415799632,0.654904675,0.093151682,7.030519049,2.06E-12,1.74E-10
11724467_at,3.032550434,-0.607654826,0.122949552,-4.942310213,7.72E-07,2.41E-05
11724477_a_at,2.610353288,0.397841634,0.130027688,3.059668602,0.00221582,0.022082971
11724478_s_at,2.851911808,0.637026974,0.126765493,5.025239597,5.03E-07,1.63E-05
11724479_x_at,3.042049776,0.499851666,0.121985441,4.09763381,4.17E-05,0.000805774
11724488_at,8.73772313,-0.733831009,0.074406737,-9.862426932,6.06E-23,1.71E-20
11724489_s_at,7.345060487,-0.834290373,0.081179869,-10.27705981,8.94E-25,3.08E-22
11724490_x_at,8.449950368,-0.763647418,0.075725791,-10.08437693,6.48E-24,2.08E-21
11724492_a_at,5.225880297,0.296677452,0.093114265,3.186165417,0.001441721,0.015634399
11724496_a_at,4.70683576,0.339491636,0.098344376,3.452069672,0.000556304,0.007191013
11724501_at,5.618915554,-0.66579034,0.091489897,-7.277200654,3.41E-13,3.25E-11
11724503_at,5.809107385,-0.635288067,0.089662226,-7.085347919,1.39E-12,1.20E-10
11724504_at,4.364041072,-0.542066633,0.10323299,-5.250905114,1.51E-07,5.54E-06
11724506_s_at,5.714459714,0.247423903,0.088464739,2.796864666,0.005160114,0.04373494
11724509_a_at,6.423517337,0.439707764,0.08374264,5.250703393,1.52E-07,5.54E-06
11724510_at,5.077199793,0.596061135,0.09609172,6.203043694,5.54E-10,3.20E-08
11724515_a_at,7.010730893,-0.320891143,0.079931362,-4.014583715,5.96E-05,0.001095606
11724516_s_at,8.68086751,-0.219667973,0.072052268,-3.048730865,0.002298103,0.022711689
11724528_a_at,9.097216165,-0.506181258,0.071625956,-7.067008718,1.58E-12,1.36E-10
11724537_a_at,4.029665719,-0.802411685,0.109375555,-7.336298176,2.20E-13,2.14E-11
11724538_a_at,6.153899739,-1.395851674,0.09456363,-14.76097807,2.61E-49,7.97E-46
11724544_a_at,6.762744563,0.252699971,0.081064012,3.117289231,0.001825224,0.01887716
11724556_at,3.81357783,-0.505065753,0.110019274,-4.590702458,4.42E-06,0.000114345
11724557_at,3.068510751,-0.545088217,0.12193716,-4.470238728,7.81E-06,0.000187672
11724562_x_at,6.162630411,-0.535293485,0.08608675,-6.218070538,5.03E-10,2.93E-08
11724563_at,4.892757607,-0.417318523,0.096935999,-4.305093355,1.67E-05,0.000362267
11724565_at,4.96975363,-0.292705521,0.095626474,-3.060925583,0.002206539,0.022015361
11724566_a_at,4.553477253,-0.289822212,0.09972218,-2.906296393,0.003657348,0.033334742
11724574_a_at,3.545624144,0.393255582,0.112965639,3.48119645,0.000499179,0.006567961
11724575_at,4.96884254,0.439769939,0.096259041,4.568609188,4.91E-06,0.000125261
11724579_a_at,6.014376535,-0.33422736,0.086417305,-3.867597583,0.000109913,0.001841936
11724588_a_at,3.876500873,-0.371691181,0.108313651,-3.431618992,0.00059999,0.007658303
11724589_s_at,7.179184593,0.530376519,0.080310251,6.604094882,4.00E-11,2.77E-09
11724593_a_at,6.572946105,0.244204402,0.082132509,2.973297727,0.002946185,0.027907684
11724604_a_at,2.713093901,0.642123826,0.129753978,4.948779494,7.47E-07,2.33E-05
11724605_a_at,5.503275981,0.613039935,0.092566653,6.622686626,3.53E-11,2.46E-09
11724606_a_at,7.123194357,-0.231773081,0.079136901,-2.928761131,0.003403158,0.03144475
11724607_a_at,5.015167425,0.306342628,0.095229971,3.216871993,0.001295964,0.01437352
11724610_a_at,7.52859177,0.296168854,0.077245727,3.834113092,0.000126018,0.002064811
11724612_a_at,8.398234786,-0.207474905,0.073149246,-2.836323224,0.004563623,0.039777239
11724613_a_at,7.385870417,-0.213502072,0.077731372,-2.746665416,0.006020452,0.049171631
11724615_at,3.659026482,0.339709466,0.111059138,3.058815987,0.002222136,0.022129591
11724619_at,6.163773513,-0.460948089,0.085838996,-5.369914742,7.88E-08,3.05E-06
11724620_a_at,4.554166798,-0.888932626,0.103938554,-8.552482167,1.20E-17,2.05E-15
11724621_a_at,3.489636868,-0.391326135,0.113747986,-3.44029068,0.00058109,0.007457287
11724628_a_at,2.528236913,0.387116275,0.131922254,2.934427387,0.003341637,0.031033748
11724638_at,6.347268037,-0.26703986,0.083602182,-3.194173315,0.001402319,0.015269179
11724641_a_at,5.371091687,-0.621849051,0.0933486,-6.661578757,2.71E-11,1.92E-09
11724650_a_at,4.555568342,-0.349192632,0.100424249,-3.477174453,0.000506728,0.006650883
11724652_a_at,5.112952407,0.373908758,0.094491086,3.957079704,7.59E-05,0.001345421
11724658_at,3.296106355,-0.423953278,0.1175948,-3.605204287,0.000311907,0.004422258
11724659_a_at,2.489029571,-0.508200021,0.133814853,-3.797784837,0.000145995,0.002328663
11724667_s_at,5.87923944,-0.270409601,0.087449629,-3.092175507,0.001986953,0.020227469
11724687_a_at,6.234994643,-0.252688158,0.084373376,-2.99488024,0.002745526,0.026298764
11724692_a_at,4.466258413,-0.522512824,0.101964172,-5.124474726,2.98E-07,1.02E-05
11724703_a_at,2.518288863,0.582671366,0.133798624,4.354838262,1.33E-05,0.000301853
11724715_a_at,6.383663981,0.272663707,0.083433795,3.268024753,0.001083009,0.012393048
11724720_a_at,8.855560665,-0.249063537,0.071460909,-3.485311629,0.000491564,0.006483756
11724721_a_at,6.224510199,-0.359116043,0.084780203,-4.235847883,2.28E-05,0.000475466
11724723_a_at,6.719105102,-0.314798841,0.081607718,-3.857464081,0.00011457,0.001910969
11724728_a_at,5.40176419,-0.291498937,0.091680237,-3.179517704,0.001475204,0.015912589
11724735_a_at,4.656636248,0.42111103,0.099412601,4.235992498,2.28E-05,0.000475466
11724736_x_at,2.79621918,0.578251482,0.127343585,4.540876407,5.60E-06,0.000140821
11724737_a_at,2.69833644,0.457731593,0.128454864,3.563365216,0.000366131,0.005055826
11724738_a_at,3.583571148,-0.795841707,0.11580133,-6.872474667,6.31E-12,5.02E-10
11724751_at,4.989787141,0.280910335,0.095438538,2.943363784,0.003246667,0.03032303
11724780_x_at,7.641893316,0.236922441,0.07653124,3.095761169,0.001963084,0.020045531
11724800_a_at,7.009348084,0.256476494,0.079949797,3.207969308,0.001336758,0.014729205
11724818_a_at,6.460462828,-0.290171773,0.082968179,-3.497386298,0.000469841,0.006243531
11724821_a_at,6.98389233,0.306742001,0.080027322,3.832965965,0.000126607,0.0020697
11724845_a_at,5.184987789,0.362822122,0.093734573,3.870739592,0.000108506,0.001822647
11724846_s_at,5.452153227,0.25127143,0.090727299,2.769523975,0.005613827,0.046482054
11724847_a_at,5.473892367,-0.977961575,0.095680653,-10.2211005,1.60E-24,5.36E-22
11724862_at,5.380126541,0.310337266,0.091639173,3.38651316,0.000707869,0.008788239
11724865_at,2.488075401,-0.434738472,0.133187291,-3.264113784,0.001098071,0.01254858
11724871_a_at,3.925284738,0.779153422,0.111058323,7.015713927,2.29E-12,1.91E-10
11724872_a_at,4.623904967,0.990486516,0.10522274,9.413236276,4.81E-21,1.16E-18
11724875_a_at,5.053565073,-0.631419912,0.096699009,-6.529745423,6.59E-11,4.40E-09
11724886_a_at,3.371989532,-0.382752235,0.115647062,-3.309658102,0.0009341,0.011050496
11724900_a_at,4.726868477,0.754779464,0.101535258,7.433668642,1.06E-13,1.08E-11
11724909_a_at,9.821398023,-0.21253939,0.068037466,-3.123858099,0.001784965,0.018555204
11724910_a_at,6.953827992,-0.312706841,0.080237428,-3.897269024,9.73E-05,0.001661606
11724911_a_at,6.100862609,-0.445724236,0.086078731,-5.178099545,2.24E-07,7.91E-06
11724912_at,5.25816416,-0.368089148,0.093308075,-3.944879865,7.98E-05,0.001404703
11724949_a_at,2.770071716,0.412735147,0.126592088,3.260355011,0.001112728,0.012682133
11724951_s_at,6.846166325,-0.236762305,0.080587203,-2.937964041,0.003303753,0.030748824
11724954_s_at,5.680888397,-0.372495535,0.08934424,-4.169217137,3.06E-05,0.000612774
11724963_s_at,6.978581153,0.300525804,0.080057995,3.75385123,0.000174138,0.00269987
11724965_at,5.289301485,-0.538342567,0.093540307,-5.755193521,8.65E-09,4.04E-07
11724966_s_at,4.821600628,-0.652925097,0.099007286,-6.594717639,4.26E-11,2.93E-09
11724981_at,4.657622962,-0.341444995,0.099032978,-3.447790862,0.000565191,0.00729485
11724982_s_at,6.267029775,-0.332756981,0.084486024,-3.938603848,8.20E-05,0.001439579
11724983_at,6.590931645,-0.346023531,0.08248223,-4.195128216,2.73E-05,0.000556158
11724986_a_at,2.646509237,0.489855701,0.129802487,3.773854516,0.000160745,0.002525561
11724988_a_at,5.087260961,0.504134226,0.095478969,5.280055193,1.29E-07,4.80E-06
11725000_at,5.015200291,0.414472402,0.09736015,4.257105224,2.07E-05,0.000438254
11725006_a_at,4.144607369,-0.427821604,0.105564468,-4.052704598,5.06E-05,0.00095366
11725007_at,4.930474143,-0.392816074,0.096712765,-4.061677625,4.87E-05,0.000921639
11725022_a_at,6.095679859,-0.423719209,0.085971436,-4.928604529,8.28E-07,2.56E-05
11725023_a_at,8.379937977,-0.358130464,0.073801248,-4.85263426,1.22E-06,3.62E-05
11725033_a_at,4.831258795,-0.273213291,0.096875379,-2.820255199,0.004798547,0.041302353
11725040_at,3.218460154,-0.335655326,0.117981392,-2.844985296,0.004441347,0.038982116
11725046_a_at,3.895144371,0.473996564,0.108545843,4.36678689,1.26E-05,0.000287951
11725047_x_at,5.061692303,0.371810518,0.095051335,3.911681189,9.17E-05,0.001581304
11725052_a_at,6.269413215,0.450751987,0.084823808,5.313979642,1.07E-07,4.04E-06
11725053_x_at,5.436860271,0.561103995,0.092289773,6.079806855,1.20E-09,6.58E-08
11725056_a_at,6.527630743,-0.31706681,0.08264713,-3.836392261,0.000124855,0.002051264
11725057_s_at,8.891901471,-0.206109399,0.071260203,-2.892349323,0.003823725,0.034504878
11725058_a_at,5.633313974,-0.351493676,0.089492528,-3.927631541,8.58E-05,0.001496169
11725064_x_at,5.714707535,0.294544355,0.088563343,3.325804404,0.000881638,0.010502636
11725065_a_at,6.603592896,0.229480439,0.081911174,2.801576727,0.005085355,0.043255917
11725082_a_at,3.752273264,-0.51350702,0.110709796,-4.638316022,3.51E-06,9.30E-05
11725105_a_at,5.233849663,-0.292397904,0.093317669,-3.133360558,0.00172817,0.018082063
11725116_a_at,6.301243531,-0.233429026,0.083830976,-2.784519957,0.005360702,0.045006365
11725123_a_at,6.634523009,0.241900843,0.081762827,2.958567513,0.003090725,0.029032005
11725128_a_at,3.884441936,0.51458074,0.109567003,4.696493704,2.65E-06,7.22E-05
11725142_a_at,4.481376572,0.417567891,0.101071676,4.131403663,3.61E-05,0.000704973
11725155_at,3.612840315,0.575823225,0.113261493,5.084015825,3.70E-07,1.24E-05
11725161_a_at,5.621493308,0.444335381,0.09000647,4.936704919,7.95E-07,2.47E-05
11725162_a_at,3.587057899,0.430835257,0.112664617,3.824051149,0.000131277,0.002130525
11725163_x_at,3.967079116,0.503653613,0.107817941,4.671334006,2.99E-06,8.05E-05
11725165_a_at,5.011353102,-0.362225621,0.095488893,-3.793379642,0.000148611,0.00236332
11725167_at,7.431974309,-0.286559933,0.077676513,-3.689145182,0.000225009,0.003359297
11725168_s_at,8.274730301,-0.271901035,0.073805185,-3.684037043,0.000229569,0.003417749
11725169_at,6.635422159,-0.427763029,0.082383191,-5.192358122,2.08E-07,7.40E-06
11725176_s_at,3.373811125,-0.85306635,0.120122624,-7.101629345,1.23E-12,1.07E-10
11725192_at,4.645727053,0.337598807,0.098968869,3.411161629,0.000646867,0.008149421
11725193_at,6.331007359,0.279642785,0.083756739,3.338749655,0.000841564,0.010119743
11725196_s_at,3.639013561,-0.304979315,0.111240965,-2.741609761,0.006113893,0.049753917
11725198_at,3.350177204,0.617789868,0.118128025,5.229833216,1.70E-07,6.17E-06
11725208_at,6.814867572,-0.233442764,0.080744178,-2.891140503,0.003838465,0.034601307
11725218_s_at,3.223223629,-0.566193797,0.119356194,-4.743731998,2.10E-06,5.91E-05
11725221_a_at,3.452939367,0.799156677,0.117703968,6.789547489,1.12E-11,8.53E-10
11725222_a_at,2.723468191,0.560018084,0.128670264,4.352350457,1.35E-05,0.000304205
11725223_at,6.402725124,0.555697953,0.084422356,6.582355434,4.63E-11,3.15E-09
11725225_at,8.491417845,-0.756050356,0.075254907,-10.04652568,9.52E-24,3.00E-21
11725226_at,6.605188741,-0.983803446,0.086496969,-11.37384881,5.64E-30,3.26E-27
11725232_at,5.392835198,-0.253236272,0.09146508,-2.768666147,0.005628628,0.046586528
11725236_at,4.249965616,0.295315891,0.10313381,2.863424636,0.004190885,0.037305833
11725237_a_at,5.471125066,-0.590679657,0.092683914,-6.373054746,1.85E-10,1.16E-08
11725239_a_at,4.046330143,-0.449495745,0.106574925,-4.217650114,2.47E-05,0.00050927
11725240_at,4.980242271,-0.298109388,0.095674028,-3.115886242,0.00183393,0.018949424
11725257_at,3.375987839,0.37310607,0.116497621,3.202692605,0.001361492,0.014946649
11725291_at,3.674234073,0.424516701,0.111242324,3.816143777,0.000135554,0.002185215
11725292_a_at,2.981331337,-0.712786021,0.124886713,-5.707460807,1.15E-08,5.25E-07
11725298_x_at,4.158787374,-0.342715518,0.104805385,-3.270018206,0.001075406,0.012334583
11725300_a_at,5.419729921,-0.567910135,0.092877967,-6.11458401,9.68E-10,5.40E-08
11725308_a_at,5.525753758,0.34561744,0.090509653,3.818569934,0.000134228,0.002170987
11725316_x_at,3.171794057,-0.364288149,0.118829537,-3.065636351,0.002172073,0.021737538
11725323_at,4.136596358,0.31076534,0.10459021,2.971266058,0.002965747,0.028043197
11725326_a_at,6.871518334,-0.277201848,0.080546002,-3.441534556,0.000578425,0.007431938
11725333_at,7.36923056,0.280302434,0.077964991,3.595234604,0.000324099,0.004567674
11725334_at,6.310641156,0.342382602,0.084087051,4.071763692,4.67E-05,0.00088828
11725335_s_at,7.903545026,0.30654941,0.075493953,4.060582287,4.90E-05,0.000925312
11725337_a_at,6.644716673,0.246018303,0.081703724,3.011102681,0.002603008,0.025148075
11725347_a_at,5.236985775,0.359194753,0.093290031,3.850301558,0.000117972,0.001955503
11725348_x_at,5.087736999,0.313735261,0.094600063,3.316438183,0.000911728,0.010830856
11725357_a_at,4.651300363,0.340451201,0.099037811,3.43758811,0.00058692,0.007518456
11725358_a_at,2.970212205,0.409832227,0.122632272,3.341960646,0.000831889,0.010027966
11725364_x_at,5.886189744,-0.364550304,0.087477959,-4.167338941,3.08E-05,0.000617263
11725365_at,3.864620509,0.477869161,0.108932125,4.386852443,1.15E-05,0.000264904
11725366_s_at,5.416455057,0.411142274,0.091685579,4.484263273,7.32E-06,0.000177038
11725367_at,4.486220857,0.461060025,0.101228934,4.554626879,5.25E-06,0.000133013
11725370_s_at,5.241530485,0.292929802,0.092950439,3.151462266,0.001624552,0.017178344
11725375_at,4.975847814,-0.57609158,0.097094997,-5.933277706,2.97E-09,1.51E-07
11725377_a_at,4.588890711,0.318907898,0.09943642,3.207153854,0.001340553,0.014754723
11725386_a_at,4.126638208,0.774078861,0.107928287,7.172159206,7.38E-13,6.65E-11
11725387_x_at,3.602417183,0.839927602,0.115847524,7.250285335,4.16E-13,3.91E-11
11725388_a_at,3.247863743,0.705519099,0.120100548,5.874403655,4.24E-09,2.11E-07
11725395_at,6.634601575,0.277955777,0.081850242,3.395906611,0.000684017,0.008547647
11725397_at,6.2185613,0.241511067,0.084444124,2.86001033,0.004236272,0.037615311
11725424_a_at,5.448345547,-0.346903376,0.09112257,-3.806997262,0.000140664,0.00225459
11725425_s_at,8.408600013,-0.249816014,0.073198504,-3.412856803,0.000642857,0.008113267
11725426_a_at,4.65721945,-0.419183439,0.099292198,-4.221715763,2.42E-05,0.00050138
11725441_a_at,4.629564815,0.499078751,0.100106285,4.985488704,6.18E-07,1.97E-05
11725442_a_at,3.155348486,0.375807764,0.119182656,3.153208485,0.001614864,0.017086577
11725443_at,3.764044212,-0.544702802,0.111111386,-4.902313066,9.47E-07,2.90E-05
11725451_at,7.729423416,-0.306535354,0.076382089,-4.013183709,5.99E-05,0.001101653
11725472_a_at,9.384763988,-0.252587858,0.069536475,-3.632451263,0.000280742,0.004046293
11725473_a_at,9.158341862,-0.235967496,0.070322491,-3.355505377,0.000792201,0.009642734
11725480_s_at,5.067104615,0.279520788,0.094602329,2.954692465,0.003129809,0.029360357
11725481_a_at,4.975609927,-0.313477058,0.095892951,-3.269031284,0.001079164,0.012362304
11725496_a_at,6.774554398,-0.606434931,0.082510854,-7.349759463,1.99E-13,1.95E-11
11725501_at,5.145517765,-0.3411096,0.094119961,-3.624200399,0.000289857,0.004157244
11725508_a_at,3.432737803,0.318657741,0.114287627,2.788208573,0.005300041,0.044610855
11725509_a_at,3.848832709,0.444250198,0.108954038,4.077409198,4.55E-05,0.000869708
11725510_a_at,5.133433407,0.278755105,0.093956075,2.966866225,0.003008518,0.028365934
11725512_a_at,4.728271825,-0.54813966,0.100316153,-5.46412159,4.65E-08,1.90E-06
11725520_s_at,5.6988362,0.250733214,0.088586853,2.830365985,0.004649479,0.040336116
11725522_at,5.581308591,-0.295552329,0.089864098,-3.288881058,0.001005865,0.011711223
11725530_a_at,7.324220628,-0.416143571,0.078712011,-5.286913183,1.24E-07,4.64E-06
11725531_a_at,7.468146131,-0.363598076,0.07777242,-4.675154433,2.94E-06,7.92E-05
11725532_a_at,6.517360982,-0.536228083,0.083624554,-6.412328202,1.43E-10,9.13E-09
11725537_at,6.284810051,0.413426255,0.084561231,4.88907562,1.01E-06,3.07E-05
11725544_a_at,4.968750002,0.433652372,0.096371064,4.499819297,6.80E-06,0.000166548
11725552_a_at,2.760075947,-0.540390495,0.127689508,-4.232066544,2.32E-05,0.000481883
11725553_at,6.014107017,-0.822744278,0.089399002,-9.203058835,3.48E-20,7.69E-18
11725554_at,5.663809208,-0.28069444,0.088947741,-3.15572308,0.001601008,0.016965198
11725568_a_at,7.622215009,-0.36412397,0.077049547,-4.725841777,2.29E-06,6.39E-05
11725576_s_at,4.641440491,-0.469658492,0.09963627,-4.71373016,2.43E-06,6.71E-05
11725585_at,5.439040966,-0.51489463,0.092404337,-5.572191188,2.52E-08,1.07E-06
11725587_a_at,3.412082432,0.338221386,0.114720269,2.948226928,0.003196024,0.029922324
11725597_a_at,3.709932572,0.531225806,0.111986794,4.743646893,2.10E-06,5.91E-05
11725601_at,7.76541794,-0.210799337,0.076045085,-2.77203107,0.005570772,0.046239623
11725602_at,6.00859624,-0.262160819,0.08609733,-3.044935534,0.002327302,0.022951993
11725619_a_at,2.327762557,0.375651571,0.137091083,2.7401605,0.006140919,0.049926255
11725623_s_at,3.874565246,0.374866609,0.108205074,3.464408767,0.000531398,0.006915145
11725630_a_at,6.228235002,0.269911603,0.084448608,3.196164016,0.001392679,0.015179705
11725652_at,5.176505005,-0.298462439,0.09371989,-3.184622165,0.001449431,0.015693657
11725662_a_at,5.196195332,-0.285746475,0.09365212,-3.051147951,0.002279682,0.022576258
11725665_at,7.153472903,0.301456205,0.07912994,3.809635223,0.000139172,0.002234027
11725671_a_at,4.758934312,0.39911538,0.098139737,4.066807103,4.77E-05,0.000906166
11725672_s_at,7.724334592,0.218905649,0.076110786,2.876144907,0.004025649,0.036007284
11725676_a_at,5.474729914,-0.254900117,0.0907093,-2.81007699,0.004952965,0.042400202
11725684_a_at,5.411254569,0.459208412,0.092363399,4.971757396,6.63E-07,2.10E-05
11725685_a_at,6.834378382,0.293790553,0.081041899,3.625168685,0.000288773,0.004145877
11725687_s_at,5.632396149,0.282955015,0.08920619,3.171921308,0.00151434,0.016256687
11725691_a_at,5.165156891,-0.368858803,0.094035334,-3.922555357,8.76E-05,0.00151957
11725692_a_at,7.919949755,-0.293499512,0.075451638,-3.889902474,0.000100285,0.001705356
11725694_at,5.696943035,-0.615538953,0.09045533,-6.804894264,1.01E-11,7.75E-10
11725695_s_at,6.544976163,-0.559926918,0.083652739,-6.693467836,2.18E-11,1.57E-09
11725702_a_at,4.723512654,0.514948971,0.099763236,5.161710765,2.45E-07,8.56E-06
11725703_a_at,3.431777514,1.062978264,0.12237607,8.686161135,3.75E-18,6.78E-16
11725709_a_at,3.725666768,0.305315194,0.110006735,2.775422736,0.005513,0.045897947
11725714_a_at,7.440867386,0.464027007,0.078277176,5.927998808,3.07E-09,1.56E-07
11725715_x_at,7.574791656,0.379682466,0.077279412,4.913112751,8.96E-07,2.75E-05
11725722_at,5.164267926,0.463961754,0.094438718,4.912834118,8.98E-07,2.75E-05
11725724_a_at,4.526536752,0.951283053,0.10546442,9.01994296,1.88E-19,3.82E-17
11725738_at,5.622639412,-0.30405579,0.089437406,-3.39964901,0.000674724,0.008452963
11725741_x_at,5.73551016,-0.266742528,0.088362625,-3.018725724,0.002538402,0.024657857
11725742_a_at,8.369229795,-0.258197053,0.073594871,-3.508356633,0.000450884,0.006032943
11725743_s_at,6.935353629,-0.292030637,0.080473052,-3.628924595,0.000284604,0.004092914
11725744_x_at,7.916970082,-0.261563539,0.075552858,-3.46199399,0.000536189,0.006968989
11725764_a_at,2.708576632,0.753693543,0.131126299,5.74784425,9.04E-09,4.20E-07
11725765_a_at,4.141512924,1.587468862,0.120692539,13.1529991,1.64E-39,2.33E-36
11725766_x_at,4.331621746,1.481753596,0.115876698,12.78733015,1.93E-37,2.29E-34
11725769_at,7.365286882,-0.380983004,0.07829854,-4.865774042,1.14E-06,3.41E-05
11725770_x_at,8.696297772,-0.331128473,0.072263996,-4.582205381,4.60E-06,0.000118161
11725771_at,5.525528869,-0.609651954,0.091734861,-6.645804506,3.02E-11,2.12E-09
11725772_a_at,2.765026207,-0.358055962,0.126355107,-2.833727656,0.004600852,0.039995556
11725773_a_at,3.772168349,0.313438691,0.109340079,2.866640422,0.004148541,0.03695162
11725779_a_at,4.501349999,0.626708923,0.102600502,6.108244243,1.01E-09,5.61E-08
11725780_s_at,5.005311462,0.433483589,0.096138442,4.5089517,6.51E-06,0.000160923
11725781_at,5.812039434,0.354121131,0.08794003,4.026847973,5.65E-05,0.001049066
11725785_at,4.830169961,0.274819123,0.096935463,2.835073081,0.00458152,0.039882391
11725787_a_at,4.465825637,0.415641523,0.101173668,4.108198604,3.99E-05,0.000771889
11725788_a_at,6.803630684,0.387982622,0.08129824,4.77233727,1.82E-06,5.21E-05
11725789_at,3.24409281,-0.440036175,0.118073411,-3.726801593,0.000193925,0.002950909
11725790_at,5.392709391,-0.37009747,0.0918943,-4.027425751,5.64E-05,0.001046947
11725793_s_at,9.272185323,-0.223449855,0.069891439,-3.197099061,0.001388172,0.015146054
11725822_a_at,7.317363603,0.335599891,0.078430639,4.278938621,1.88E-05,0.000403184
11725824_at,4.005116231,-0.576485546,0.107850821,-5.345212415,9.03E-08,3.45E-06
